Time,Inertia[GW],Total_production,Share_Wind,Share_Conv,month,day,hour
2016-01-01 00:00:00,224.0,44682.0,0.108880534,0.890045208,1.0,1.0,0.0
2016-01-01 01:00:00,220.0,43593.0,0.107723717,0.891198128,1.0,1.0,1.0
2016-01-01 02:00:00,213.0,42903.0,0.106239657,0.892664849,1.0,1.0,2.0
2016-01-01 03:00:00,211.0,42277.0,0.106582776,0.892305509,1.0,1.0,3.0
2016-01-01 04:00:00,208.0,42085.0,0.102768207,0.896115005,1.0,1.0,4.0
2016-01-01 05:00:00,208.0,42712.0,0.099854842,0.899044765,1.0,1.0,5.0
2016-01-01 06:00:00,208.0,42827.0,0.095033507,0.903869055,1.0,1.0,6.0
2016-01-01 07:00:00,209.0,44078.0,0.087980398,0.91095331,1.0,1.0,7.0
2016-01-01 08:00:00,212.0,45202.0,0.08249635,0.916463873,1.0,1.0,8.0
2016-01-01 09:00:00,215.0,46052.0,0.080973682,0.917853731,1.0,1.0,9.0
2016-01-01 10:00:00,220.0,47405.0,0.075667124,0.922645291,1.0,1.0,10.0
2016-01-01 11:00:00,224.0,48511.0,0.068891592,0.92877904,1.0,1.0,11.0
2016-01-01 12:00:00,229.0,49225.0,0.062813611,0.934606399,1.0,1.0,12.0
2016-01-01 13:00:00,233.0,49690.0,0.060374321,0.937391829,1.0,1.0,13.0
2016-01-01 14:00:00,236.0,50890.0,0.059834938,0.938593044,1.0,1.0,14.0
2016-01-01 15:00:00,239.0,52982.0,0.056358763,0.942640897,1.0,1.0,15.0
2016-01-01 16:00:00,244.0,54172.0,0.053237835,0.945913018,1.0,1.0,16.0
2016-01-01 17:00:00,247.0,54773.0,0.053676081,0.945484089,1.0,1.0,17.0
2016-01-01 18:00:00,250.0,54372.0,0.054807622,0.944346355,1.0,1.0,18.0
2016-01-01 19:00:00,250.0,52890.0,0.058177349,0.940971828,1.0,1.0,19.0
2016-01-01 20:00:00,247.0,51455.0,0.061296278,0.937848606,1.0,1.0,20.0
2016-01-01 21:00:00,243.0,50610.0,0.063643549,0.935427781,1.0,1.0,21.0
2016-01-01 22:00:00,240.0,48913.0,0.072823176,0.926215934,1.0,1.0,22.0
2016-01-01 23:00:00,235.0,47128.0,0.079910032,0.919113903,1.0,1.0,23.0
2016-01-02 00:00:00,229.0,45052.0,0.087587676,0.911391281,1.0,2.0,0.0
2016-01-02 01:00:00,222.0,43858.0,0.096402025,0.902571937,1.0,2.0,1.0
2016-01-02 02:00:00,215.0,41551.0,0.115207817,0.883709177,1.0,2.0,2.0
2016-01-02 03:00:00,207.0,39865.0,0.134077512,0.864793679,1.0,2.0,3.0
2016-01-02 04:00:00,197.0,39599.0,0.144927902,0.853935705,1.0,2.0,4.0
2016-01-02 05:00:00,192.0,40378.0,0.150477983,0.848407549,1.0,2.0,5.0
2016-01-02 06:00:00,192.0,41712.0,0.158467587,0.840453586,1.0,2.0,6.0
2016-01-02 07:00:00,194.0,44821.0,0.154034939,0.844961067,1.0,2.0,7.0
2016-01-02 08:00:00,197.0,48516.0,0.14945585,0.849616621,1.0,2.0,8.0
2016-01-02 09:00:00,211.0,50502.0,0.142370599,0.856698745,1.0,2.0,9.0
2016-01-02 10:00:00,220.0,52485.0,0.137639326,0.861350862,1.0,2.0,10.0
2016-01-02 11:00:00,227.0,53408.0,0.134755093,0.864289994,1.0,2.0,11.0
2016-01-02 12:00:00,231.0,53470.0,0.133495418,0.865550776,1.0,2.0,12.0
2016-01-02 13:00:00,233.0,53595.0,0.13180334,0.867207762,1.0,2.0,13.0
2016-01-02 14:00:00,233.0,54226.0,0.129200015,0.86989636,1.0,2.0,14.0
2016-01-02 15:00:00,234.0,55231.0,0.125056581,0.874164871,1.0,2.0,15.0
2016-01-02 16:00:00,236.0,56497.0,0.122165779,0.877002319,1.0,2.0,16.0
2016-01-02 17:00:00,238.0,57071.0,0.121340085,0.877818857,1.0,2.0,17.0
2016-01-02 18:00:00,242.0,56724.0,0.121430083,0.877723715,1.0,2.0,18.0
2016-01-02 19:00:00,242.0,55693.0,0.12209793,0.877040203,1.0,2.0,19.0
2016-01-02 20:00:00,241.0,54263.0,0.123601718,0.875532131,1.0,2.0,20.0
2016-01-02 21:00:00,237.0,53103.0,0.125774438,0.873340489,1.0,2.0,21.0
2016-01-02 22:00:00,234.0,51476.0,0.126000466,0.873086487,1.0,2.0,22.0
2016-01-02 23:00:00,232.0,49199.0,0.130896969,0.868147727,1.0,2.0,23.0
2016-01-03 00:00:00,226.0,47083.0,0.136333709,0.862646815,1.0,3.0,0.0
2016-01-03 01:00:00,218.0,45495.0,0.129025168,0.869941752,1.0,3.0,1.0
2016-01-03 02:00:00,210.0,45383.0,0.134808188,0.864156182,1.0,3.0,2.0
2016-01-03 03:00:00,209.0,45139.0,0.135359667,0.863599105,1.0,3.0,3.0
2016-01-03 04:00:00,208.0,44587.0,0.135891628,0.863076682,1.0,3.0,4.0
2016-01-03 05:00:00,207.0,45220.0,0.131910659,0.867027864,1.0,3.0,5.0
2016-01-03 06:00:00,207.0,45822.0,0.128911876,0.870040592,1.0,3.0,6.0
2016-01-03 07:00:00,210.0,47133.0,0.124350243,0.874652579,1.0,3.0,7.0
2016-01-03 08:00:00,216.0,48799.0,0.118096682,0.880960675,1.0,3.0,8.0
2016-01-03 09:00:00,220.0,51001.0,0.112664458,0.88611988,1.0,3.0,9.0
2016-01-03 10:00:00,225.0,53821.0,0.106036677,0.891919511,1.0,3.0,10.0
2016-01-03 11:00:00,232.0,54918.0,0.104592301,0.892603518,1.0,3.0,11.0
2016-01-03 12:00:00,240.0,55115.0,0.107048898,0.889848499,1.0,3.0,12.0
2016-01-03 13:00:00,241.0,55055.0,0.106148397,0.8910544,1.0,3.0,13.0
2016-01-03 14:00:00,239.0,55505.0,0.103486172,0.894676155,1.0,3.0,14.0
2016-01-03 15:00:00,240.0,56876.0,0.099690555,0.899360011,1.0,3.0,15.0
2016-01-03 16:00:00,241.0,58502.0,0.09799665,0.901251239,1.0,3.0,16.0
2016-01-03 17:00:00,247.0,59061.0,0.099287178,0.899950898,1.0,3.0,17.0
2016-01-03 18:00:00,251.0,58282.0,0.101249099,0.897978793,1.0,3.0,18.0
2016-01-03 19:00:00,251.0,57143.0,0.10401974,0.895227762,1.0,3.0,19.0
2016-01-03 20:00:00,248.0,55947.0,0.103329937,0.895883604,1.0,3.0,20.0
2016-01-03 21:00:00,246.0,54943.0,0.105582149,0.893617021,1.0,3.0,21.0
2016-01-03 22:00:00,243.0,53084.0,0.110598297,0.888572828,1.0,3.0,22.0
2016-01-03 23:00:00,240.0,50430.0,0.117985326,0.881142177,1.0,3.0,23.0
2016-01-04 00:00:00,234.0,48291.0,0.123149241,0.875939616,1.0,4.0,0.0
2016-01-04 01:00:00,223.0,47612.0,0.125346551,0.873729312,1.0,4.0,1.0
2016-01-04 02:00:00,215.0,47393.0,0.128415589,0.870634904,1.0,4.0,2.0
2016-01-04 03:00:00,214.0,47493.0,0.130313941,0.868780662,1.0,4.0,3.0
2016-01-04 04:00:00,214.0,48131.0,0.128046373,0.871081008,1.0,4.0,4.0
2016-01-04 05:00:00,216.0,50735.0,0.12240071,0.876909431,1.0,4.0,5.0
2016-01-04 06:00:00,221.0,56150.0,0.111184328,0.888174533,1.0,4.0,6.0
2016-01-04 07:00:00,236.0,61025.0,0.100680049,0.898648095,1.0,4.0,7.0
2016-01-04 08:00:00,252.0,62872.0,0.098263138,0.901021122,1.0,4.0,8.0
2016-01-04 09:00:00,262.0,63053.0,0.097457694,0.901416269,1.0,4.0,9.0
2016-01-04 10:00:00,264.0,63337.0,0.098267995,0.899553184,1.0,4.0,10.0
2016-01-04 11:00:00,265.0,63337.0,0.100557336,0.896221798,1.0,4.0,11.0
2016-01-04 12:00:00,266.0,63093.0,0.10270553,0.893649058,1.0,4.0,12.0
2016-01-04 13:00:00,265.0,62971.0,0.101808769,0.894967525,1.0,4.0,13.0
2016-01-04 14:00:00,264.0,62905.0,0.10121612,0.89662189,1.0,4.0,14.0
2016-01-04 15:00:00,264.0,63628.0,0.099358773,0.899651097,1.0,4.0,15.0
2016-01-04 16:00:00,265.0,64521.0,0.09775112,0.901566932,1.0,4.0,16.0
2016-01-04 17:00:00,267.0,64806.0,0.0981082,0.90119742,1.0,4.0,17.0
2016-01-04 18:00:00,269.0,63237.0,0.099372203,0.899916188,1.0,4.0,18.0
2016-01-04 19:00:00,270.0,62012.0,0.098932465,0.900357995,1.0,4.0,19.0
2016-01-04 20:00:00,266.0,60290.0,0.098905291,0.900348316,1.0,4.0,20.0
2016-01-04 21:00:00,263.0,58508.0,0.097439666,0.901791208,1.0,4.0,21.0
2016-01-04 22:00:00,259.0,55930.0,0.098301448,0.900893975,1.0,4.0,22.0
2016-01-04 23:00:00,254.0,53311.0,0.101123596,0.898032301,1.0,4.0,23.0
2016-01-05 00:00:00,247.0,51692.0,0.102278883,0.896850576,1.0,5.0,0.0
2016-01-05 01:00:00,240.0,50722.0,0.102283033,0.896829778,1.0,5.0,1.0
2016-01-05 02:00:00,232.0,50427.0,0.102504611,0.89660301,1.0,5.0,2.0
2016-01-05 03:00:00,230.0,50342.0,0.101962576,0.897163402,1.0,5.0,3.0
2016-01-05 04:00:00,231.0,51327.0,0.09990843,0.899214838,1.0,5.0,4.0
2016-01-05 05:00:00,232.0,53705.0,0.093752909,0.90540918,1.0,5.0,5.0
2016-01-05 06:00:00,241.0,57802.0,0.089252967,0.909968513,1.0,5.0,6.0
2016-01-05 07:00:00,251.0,62406.0,0.083501586,0.915777329,1.0,5.0,7.0
2016-01-05 08:00:00,265.0,64137.0,0.078379095,0.920981649,1.0,5.0,8.0
2016-01-05 09:00:00,274.0,64221.0,0.075691752,0.923405117,1.0,5.0,9.0
2016-01-05 10:00:00,276.0,64163.0,0.074279569,0.924021632,1.0,5.0,10.0
2016-01-05 11:00:00,276.0,64003.0,0.073605925,0.923925441,1.0,5.0,11.0
2016-01-05 12:00:00,275.0,63490.0,0.074043156,0.92309025,1.0,5.0,12.0
2016-01-05 13:00:00,274.0,63189.0,0.074522464,0.922644764,1.0,5.0,13.0
2016-01-05 14:00:00,274.0,63169.0,0.072013171,0.92600801,1.0,5.0,14.0
2016-01-05 15:00:00,274.0,63534.0,0.069742185,0.92925048,1.0,5.0,15.0
2016-01-05 16:00:00,276.0,64874.0,0.066081943,0.933239819,1.0,5.0,16.0
2016-01-05 17:00:00,278.0,65311.0,0.06603788,0.933303731,1.0,5.0,17.0
2016-01-05 18:00:00,282.0,64694.0,0.067796086,0.931554704,1.0,5.0,18.0
2016-01-05 19:00:00,280.0,63388.0,0.067662649,0.931658989,1.0,5.0,19.0
2016-01-05 20:00:00,277.0,61339.0,0.067379644,0.931919334,1.0,5.0,20.0
2016-01-05 21:00:00,275.0,60389.0,0.065624534,0.933679975,1.0,5.0,21.0
2016-01-05 22:00:00,271.0,58663.0,0.064146055,0.935137992,1.0,5.0,22.0
2016-01-05 23:00:00,268.0,55868.0,0.064491301,0.934739028,1.0,5.0,23.0
2016-01-06 00:00:00,262.0,54400.0,0.065661765,0.933566176,1.0,6.0,0.0
2016-01-06 01:00:00,255.0,53594.0,0.064130313,0.935048699,1.0,6.0,1.0
2016-01-06 02:00:00,250.0,52978.0,0.059628525,0.939540942,1.0,6.0,2.0
2016-01-06 03:00:00,248.0,53193.0,0.060835072,0.938337751,1.0,6.0,3.0
2016-01-06 04:00:00,247.0,53988.0,0.060087427,0.939227236,1.0,6.0,4.0
2016-01-06 05:00:00,249.0,55194.0,0.058267203,0.941116788,1.0,6.0,5.0
2016-01-06 06:00:00,253.0,58123.0,0.055778263,0.94363677,1.0,6.0,6.0
