,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Inertia,Total_production,Share_Wind,Share_Conv
Biomass[MW],1.0,0.8577043871201079,0.876838514805951,0.13693522501272892,0.6855905233369108,-0.10949062670024567,0.5960537160165237,0.5968560981488292,0.8897365380524769,0.2523307231588371,-0.25126017689183533,0.46698375055926905,0.03898479454991073,0.21105082876480372,0.7326743070097719,0.7297597344200223,0.7688156412765682,-0.0879646004949361,0.11133415384082067
FossilGas[MW],0.8577043871201079,1.0,0.9101466894476429,0.224582897067844,0.8167536359034597,-0.07925434172127484,0.7056678475654233,0.5247934791446297,0.8803217905456957,0.3041194118868782,-0.24582257572954144,0.582373088434522,0.041355442923187706,0.16546708770465454,0.7878652457655894,0.7857367994297544,0.834938076901723,-0.1377288519000801,0.16132567968046058
FossilHardcoal[MW],0.876838514805951,0.9101466894476429,1.0,0.20392642736430341,0.770058367142324,-0.05217176491174405,0.6739043361200553,0.5505048553124113,0.9231480895092343,0.23001089020656454,-0.23574013962953796,0.5387157287759655,0.026327041210390364,0.14897964131574953,0.7766521075237893,0.775256621058507,0.8178245933903424,-0.13680555143988,0.15945310380775002
FossilOil[MW],0.13693522501272892,0.224582897067844,0.20392642736430341,1.0,0.14782551582799372,0.09215521076396617,0.24186321506932978,-0.09485939716179534,0.1263683908570309,0.039094912380187724,0.07426705345346836,0.2636668250302487,-0.014745605162090381,0.013926048994287928,0.1723070292580074,0.17154514086849904,0.22030401330681387,-0.05516978265015432,0.051381467207795496
FossilPeat[MW],0.6855905233369108,0.8167536359034597,0.770058367142324,0.14782551582799372,1.0,-0.04391263185756079,0.6251479380691958,0.33761374104867076,0.753783515789317,0.28672586890547364,-0.25661086127062027,0.5587481678669626,0.09126368550071524,0.1006926032652889,0.6602322563513502,0.6576055904857456,0.7113118355111647,-0.142667326329718,0.16664496380103197
HydroRun-of-riverandpoundage[MW],-0.10949062670024567,-0.07925434172127484,-0.05217176491174405,0.09215521076396617,-0.04391263185756079,1.0,0.3458592244141216,-0.1433768014201342,-0.17653832074342904,-0.4497367268203371,0.30351176597181506,-0.1753681169405974,0.0554767664345867,-0.09940281451615131,0.21035417147775237,0.21280194493245863,0.2623382280747612,-0.18659776234790662,0.16932438818249249
HydroWaterReservoir[MW],0.5960537160165237,0.7056678475654233,0.6739043361200553,0.24186321506932978,0.6251479380691958,0.3458592244141216,1.0,0.2909220361788712,0.527141041886342,0.1521107715223844,-0.012211587833594049,0.4869692559836947,-0.08006542922672424,-0.13514904525001625,0.9019891585176865,0.9010237993742177,0.8928102196671772,-0.4723631664712092,0.4821098472266697
Nuclear[MW],0.5968560981488292,0.5247934791446297,0.5505048553124113,-0.09485939716179534,0.33761374104867076,-0.1433768014201342,0.2909220361788712,1.0,0.6059006761571651,0.336176528849254,-0.18777267556296243,0.11981598988519739,0.05206030269020377,0.17421440497535193,0.5712786590874976,0.5679070264460316,0.5012297644519608,-0.021275497980859523,0.03741640354845133
Other[MW],0.8897365380524769,0.8803217905456957,0.9231480895092343,0.1263683908570309,0.753783515789317,-0.17653832074342904,0.527141041886342,0.6059006761571651,1.0,0.3137471320368505,-0.22549019819649313,0.4715847417934347,0.09300816214938719,0.2681614207442169,0.6860609282808132,0.6846550172292429,0.7444628823239416,-0.0012679656263875397,0.021537278571005136
Otherrenewable[MW],0.2523307231588371,0.3041194118868782,0.23001089020656454,0.039094912380187724,0.28672586890547364,-0.4497367268203371,0.1521107715223844,0.336176528849254,0.3137471320368505,1.0,-0.1866984351399359,0.3798200259308907,0.00996011591425427,0.1307510075950664,0.21056939423644552,0.20855170241700632,0.21811442362008435,0.03930674226154871,-0.027505816658531596
