,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroPumpedStorage[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Total_production,Share_Wind,Share_Conv
Biomass[MW],1.0,0.6043997082977228,0.7373253460420925,0.43610724218543956,0.49324158791883416,0.5737954103011094,0.08141869275981715,0.7028885429089858,0.3520915807048779,0.6573821870710732,-0.08907964868327681,-0.24074844754829144,0.27156645973625293,-0.11132867267822749,-0.06993604928250088,0.6819419979856665,0.672088185247546,-0.2943614639582545,0.33175523172748256
FossilGas[MW],0.6043997082977228,1.0,0.8049911133538524,0.5112266670051665,0.6587788443085844,0.6077155221711921,0.4163847730907703,0.7381971132342676,0.13684226803252345,0.7282865245183496,-0.01700859487370534,-0.15436919712187624,0.4157947185280008,-0.14858711729081056,-0.18303700476947798,0.6022655697341427,0.642533466670057,-0.36596791967845566,0.39293352392301617
FossilHardcoal[MW],0.7373253460420925,0.8049911133538524,1.0,0.5005853645312897,0.6047489006447436,0.701347694624358,0.40670368692748365,0.8026415013591597,0.13429010712430506,0.7182588662789936,-0.12666569719124082,-0.1539621899764403,0.3356896274274741,-0.3380280556764687,-0.2319058384576306,0.6667819113223911,0.6521951762024554,-0.4551228119523894,0.4854849859600383
FossilOil[MW],0.43610724218543956,0.5112266670051665,0.5005853645312897,1.0,0.32353895125447685,0.377824971525117,0.24329467526107534,0.5003889661991364,0.258908785490706,0.4417948487628491,-0.14472143017784658,-0.07477051716764581,0.2784311880371875,-0.049302055310628326,0.0208387053582791,0.4837197654790158,0.5369135075553759,-0.15461710290600056,0.1710303597344009
FossilPeat[MW],0.49324158791883416,0.6587788443085844,0.6047489006447436,0.32353895125447685,1.0,0.30707754270634824,0.5750430688453455,0.6773508763547194,-0.05278267288414642,0.7365010297461794,0.05417665459387154,-0.1823130724432106,0.18461794852722616,0.12690471460354197,-0.0947818949351811,0.4318830441997806,0.6334476259237066,-0.24694629147840588,0.27476059660572977
HydroPumpedStorage[MW],0.5737954103011094,0.6077155221711921,0.701347694624358,0.377824971525117,0.30707754270634824,1.0,0.18925879617376376,0.6906205292736314,0.16538855447208003,0.5245062402796937,-0.12478820601004292,-0.00569083916673565,0.20449017568138161,-0.41717266760048644,-0.32488065390213156,0.6283865197816837,0.46056918922431384,-0.5009789660218386,0.5174292386963469
HydroRun-of-riverandpoundage[MW],0.08141869275981715,0.4163847730907703,0.40670368692748365,0.24329467526107534,0.5750430688453455,0.18925879617376376,1.0,0.45100552236538943,-0.38131898821786964,0.3830721620980815,0.10780359246539539,0.0663461651855589,0.15612969151489126,-0.08672659669919307,-0.10074554148249998,0.09313735440009731,0.38176659355801096,-0.2294070959579562,0.23020529496469538
HydroWaterReservoir[MW],0.7028885429089858,0.7381971132342676,0.8026415013591597,0.5003889661991364,0.6773508763547194,0.6906205292736314,0.45100552236538943,1.0,0.20058887204419643,0.7888157147489712,-0.09602957889367045,-0.13076208470039244,0.3174796295351842,-0.11810387363050658,-0.34479500757724996,0.7848051104224558,0.7548395177735723,-0.5752682117547249,0.6071457018122798
Nuclear[MW],0.3520915807048779,0.13684226803252345,0.13429010712430506,0.258908785490706,-0.05278267288414642,0.16538855447208003,-0.38131898821786964,0.20058887204419643,1.0,0.221806628716974,-0.28729424246574464,-0.16151825967952724,0.33833847722475235,0.2093894309380007,0.08474510767265206,0.6555484638210978,0.36892814530119766,-0.021674578291781856,0.04387720684476564
Other[MW],0.6573821870710732,0.7282865245183496,0.7182588662789936,0.4417948487628491,0.7365010297461794,0.5245062402796937,0.3830721620980815,0.7888157147489712,0.221806628716974,1.0,-0.021345961225932235,-0.05307498285307144,0.2929986238932567,0.003675002027510222,-0.17063541945038727,0.6770882878146471,0.7134620219620004,-0.3806169338434481,0.39972536295620653
Otherrenewable[MW],-0.08907964868327681,-0.01700859487370534,-0.12666569719124082,-0.14472143017784658,0.05417665459387154,-0.12478820601004292,0.10780359246539539,-0.09602957889367045,-0.28729424246574464,-0.021345961225932235,1.0,0.03712816557764887,-0.033966341515629744,-0.006523940716349119,-0.03125158760833798,-0.24902835868693118,-0.12705968206915447,0.013029856384045706,-0.021271999677409142
Solar[MW],-0.24074844754829144,-0.15436919712187624,-0.1539621899764403,-0.07477051716764581,-0.1823130724432106,-0.00569083916673565,0.0663461651855589,-0.13076208470039244,-0.16151825967952724,-0.05307498285307144,0.03712816557764887,1.0,-0.12419402932164675,-0.29065030057744295,-0.2528759215597503,-0.1393478572269745,-0.2708315279674908,-0.21360978773070724,0.11607601129899274
Waste[MW],0.27156645973625293,0.4157947185280008,0.3356896274274741,0.2784311880371875,0.18461794852722616,0.20449017568138161,0.15612969151489126,0.3174796295351842,0.33833847722475235,0.2929986238932567,-0.033966341515629744,-0.12419402932164675,1.0,-0.04286232917524685,-0.139757216569676,0.3668527634228316,0.2831848955918173,-0.24658574868916933,0.2644472013530472
WindOffshore[MW],-0.11132867267822749,-0.14858711729081056,-0.3380280556764687,-0.049302055310628326,0.12690471460354197,-0.41717266760048644,-0.08672659669919307,-0.11810387363050658,0.2093894309380007,0.003675002027510222,-0.006523940716349119,-0.29065030057744295,-0.04286232917524685,1.0,0.5279865509293021,-0.01683186477736874,0.28967100281212327,0.585137456876436,-0.5634125940033244
WindOnshore[MW],-0.06993604928250088,-0.18303700476947798,-0.2319058384576306,0.0208387053582791,-0.0947818949351811,-0.32488065390213156,-0.10074554148249998,-0.34479500757724996,0.08474510767265206,-0.17063541945038727,-0.03125158760833798,-0.2528759215597503,-0.139757216569676,0.5279865509293021,1.0,-0.15141606842892327,0.3350124255066577,0.942657180552087,-0.9299174244769947
Inertia[GW],0.6819419979856665,0.6022655697341427,0.6667819113223911,0.4837197654790158,0.4318830441997806,0.6283865197816837,0.09313735440009731,0.7848051104224558,0.6555484638210978,0.6770882878146471,-0.24902835868693118,-0.1393478572269745,0.3668527634228316,-0.01683186477736874,-0.15141606842892327,1.0,0.7279476203620078,-0.3762743862805148,0.4063894637277234
Total_production,0.672088185247546,0.642533466670057,0.6521951762024554,0.5369135075553759,0.6334476259237066,0.46056918922431384,0.38176659355801096,0.7548395177735723,0.36892814530119766,0.7134620219620004,-0.12705968206915447,-0.2708315279674908,0.2831848955918173,0.28967100281212327,0.3350124255066577,0.7279476203620078,1.0,0.06334522799692233,-0.025978269335444438
Share_Wind,-0.2943614639582545,-0.36596791967845566,-0.4551228119523894,-0.15461710290600056,-0.24694629147840588,-0.5009789660218386,-0.2294070959579562,-0.5752682117547249,-0.021674578291781856,-0.3806169338434481,0.013029856384045706,-0.21360978773070724,-0.24658574868916933,0.585137456876436,0.942657180552087,-0.3762743862805148,0.06334522799692233,1.0,-0.9948822765990357
Share_Conv,0.33175523172748256,0.39293352392301617,0.4854849859600383,0.1710303597344009,0.27476059660572977,0.5174292386963469,0.23020529496469538,0.6071457018122798,0.04387720684476564,0.39972536295620653,-0.021271999677409142,0.11607601129899274,0.2644472013530472,-0.5634125940033244,-0.9299174244769947,0.4063894637277234,-0.025978269335444438,-0.9948822765990357,1.0
