,Autocorrelation
0,0.9999999999999999
1,0.8959242850965251
2,0.8177463359934615
3,0.7946923518320334
4,0.7814298105868313
5,0.7765635698554341
6,0.805354118139788
7,0.8333707471708168
8,0.7858013595384886
9,0.738259925920345
10,0.7256574485815778
11,0.717393173404647
12,0.7152741996278076
13,0.7475970192124067
14,0.7741522831107296
15,0.7323626241589385
16,0.6934532442250657
17,0.6840362916771141
18,0.6764874067842334
19,0.6734760473164214
20,0.7014935414403877
21,0.7280449606821422
22,0.6862066328897949
23,0.647890694276434
24,0.6381130842409204
25,0.632247610545927
26,0.6308093131131457
27,0.6563394129636526
28,0.6779742618246848
29,0.6411830086907434
30,0.6040931580166936
31,0.5911744088356888
32,0.5833718789579647
33,0.5830575816149988
34,0.609193690214311
35,0.6280835858528352
36,0.5905722413118333
37,0.5558091440938517
38,0.5460857464268762
39,0.5373802406451723
40,0.5354459635046251
41,0.556297818113084
42,0.5694056513709993
43,0.5268215933560035
44,0.489150211794604
45,0.4775817339086035
46,0.46967424779192696
47,0.4680680267060347
48,0.48822504825264645
49,0.5011090282390214
50,0.46024018127640914
51,0.426960885189494
52,0.4142760013184451
53,0.4050672658617652
54,0.40255851980079793
55,0.4214554094481364
56,0.4311793211202788
57,0.3935011491541176
58,0.360508452620666
59,0.3495810483153239
60,0.34309910648432196
61,0.3392989173651065
62,0.3560333094648495
63,0.3693367978043054
64,0.3315393102888589
65,0.30098591353518633
66,0.28929569665199306
67,0.2813478461875415
68,0.2773108140023032
69,0.2925647926701908
70,0.30211314329725014
71,0.2660130437535893
72,0.23601660200112815
73,0.22875075451442412
74,0.22095456443528108
75,0.2145748274510628
76,0.2284997111546558
77,0.23708792299844103
78,0.20152650250752585
79,0.17088526113525998
80,0.15744481933973
81,0.14749284475758265
82,0.1446772401322753
83,0.15947872240276362
84,0.16368149393597345
85,0.1264463585281826
86,0.09971973657347376
87,0.08897650889638734
88,0.08087732135293642
89,0.08134572073049293
90,0.09572070504994648
91,0.10180671255959647
92,0.06846391754801848
93,0.042787771569651675
94,0.035164019251662154
95,0.027934162502066977
96,0.025114877455869312
97,0.03459809559180946
98,0.037808623264058365
99,0.006608960179507942
100,-0.01863515740954023
101,-0.02379750229298955
102,-0.027702600564478853
103,-0.03092318127536291
104,-0.019649943736197474
105,-0.017648806015274434
106,-0.04973222740014531
107,-0.07348065659960654
108,-0.08438691347701606
109,-0.09380282810595798
110,-0.09629653367689947
111,-0.08639098185846249
112,-0.08424701389623952
113,-0.11729049589753664
114,-0.1420761263657485
115,-0.1494529453280087
116,-0.15897847886248925
117,-0.16377155639456126
118,-0.154446807562914
119,-0.15380864141278736
120,-0.1827692041253312
121,-0.20242473167687877
122,-0.20518957169702778
123,-0.2119860759056988
124,-0.21460327818998143
125,-0.2052249234126826
126,-0.20445837465531747
127,-0.23453574349413445
128,-0.25351652589397067
129,-0.2576921082152162
130,-0.26231864445410286
131,-0.2618864240323117
132,-0.2534830316276662
133,-0.2543748815950396
134,-0.28578040884829614
135,-0.3051196127462117
136,-0.30987462993844006
137,-0.3170606630402647
138,-0.32186886731756525
139,-0.3154349054019148
140,-0.31399106518256953
141,-0.3383401865577825
142,-0.35219762841203656
143,-0.35682702787382037
144,-0.3634612010627083
145,-0.3668425884804158
146,-0.35835224545257954
147,-0.35570109428524105
148,-0.37996600069124353
149,-0.3944718825961693
150,-0.39578424088333874
151,-0.4025997067929481
152,-0.40721296299709636
153,-0.3999504621198087
154,-0.39663168577885255
155,-0.4158608768851307
156,-0.4280164835396134
157,-0.4310153625842572
158,-0.4395506270720174
159,-0.4423821404979178
160,-0.4332746675772059
161,-0.42981891094058383
162,-0.44696179606604125
163,-0.452989113116212
164,-0.453356032083834
165,-0.4611713365219524
166,-0.4618196956331232
167,-0.45093659305366834
168,-0.4470862851984646
169,-0.4642742763558699
170,-0.4708901572873762
171,-0.46712768639225233
172,-0.4743504272286065
173,-0.47296738343986283
174,-0.4655975930881311
175,-0.46508778840202336
176,-0.4794550042732545
177,-0.4855981431991113
178,-0.48540863503012566
179,-0.4933597815372739
180,-0.48980608780125906
181,-0.47784310486142706
182,-0.4754498554201531
183,-0.4892740205417674
184,-0.4903910247458336
185,-0.4888648060259046
186,-0.49455895186360344
187,-0.4902452268696913
188,-0.47757083570577225
189,-0.4720442540656822
190,-0.48436860329195447
191,-0.48487175625159146
192,-0.48143828641147085
193,-0.48357102789799994
194,-0.47593310971591346
195,-0.4613285905803163
196,-0.4544821933007021
197,-0.46368728674783
198,-0.45582388474532154
199,-0.4485511963698209
200,-0.45149334770153465
201,-0.4466383069629157
202,-0.43164264224226856
203,-0.4196576509807973
204,-0.4252240325675953
205,-0.4195560468143079
206,-0.4113492293869589
207,-0.41396578074014523
208,-0.4081931716686
209,-0.39529403650861444
210,-0.3865262257608629
211,-0.3917421569234019
212,-0.3854113784281921
213,-0.37747804460687073
214,-0.3802645983894407
215,-0.3785092319264528
216,-0.3644860401744003
217,-0.35588047659377553
218,-0.3582270314792181
219,-0.349386817749484
220,-0.33866721696737734
221,-0.33902900323932733
222,-0.3339432613092626
223,-0.3217500143682228
224,-0.31367491754175586
225,-0.3176460711175335
226,-0.3077412841739785
227,-0.2958656012085387
228,-0.29634578726103494
229,-0.2903313993035774
230,-0.2780261790889649
231,-0.2717319156620055
232,-0.27350793499681025
233,-0.2587645141615219
234,-0.24584007504472016
235,-0.24563011552467393
236,-0.2379216140895375
237,-0.22003527825134306
238,-0.20933698471163348
239,-0.2099214752124522
240,-0.19641159159725394
241,-0.18369709726348368
242,-0.18275539234672464
243,-0.17643790562844805
244,-0.15762900264426494
245,-0.14736851772681386
246,-0.14881509991704767
247,-0.1389728554281836
248,-0.13273595451354864
249,-0.13414590739557453
250,-0.1254030810979589
251,-0.10980729000434135
252,-0.09965823236067242
253,-0.09634539073172466
254,-0.07965369975922465
255,-0.07327928198408531
256,-0.0765780550349643
257,-0.06912081139168644
258,-0.05231065594160081
259,-0.04245885770157301
260,-0.0424316675428676
261,-0.029143372114357108
262,-0.014381180754296646
263,-0.01407580770598508
264,-0.008157259112289542
265,0.009410914089278414
266,0.02365601352701232
267,0.02759682410130187
268,0.04410603898538917
269,0.0567277353943763
270,0.055516906222186926
271,0.061229590110738766
272,0.07870677990470598
273,0.08663674307372428
274,0.0842669069682132
275,0.09882452517325659
276,0.11305066991028544
277,0.11668806970296561
278,0.12615012604362386
279,0.13945023437483342
280,0.147027392991701
281,0.14883431490526933
282,0.16499083774789247
283,0.17788109694820733
284,0.17630945200981282
285,0.18021415258570317
286,0.1933697626911153
287,0.2032141760620119
288,0.21010802377837634
289,0.226437953909979
290,0.23582098066316665
291,0.23750397038907134
292,0.24186783785064372
293,0.2505683764365859
294,0.2589936998056036
295,0.26501072577577806
296,0.2797363877838414
297,0.2886103352883206
298,0.2888508586080959
299,0.29622254811050325
300,0.3071039529411578
301,0.31482299269907055
302,0.32039465487784746
303,0.3356639036567668
304,0.3463858695954001
305,0.34790078817326187
306,0.3542035682174627
307,0.3628570400126314
308,0.3700491408656839
309,0.3765497553516481
310,0.39197914311947896
311,0.39941901052445544
312,0.3962063274733319
313,0.40116019017151044
314,0.41208069728964
315,0.41819088445287894
316,0.4270373862128022
317,0.44538406610749026
318,0.4547969696891561
319,0.4492920672473704
320,0.4521602591240947
321,0.45624649245489896
322,0.4583664638480491
323,0.46884985160195863
324,0.48786720046305443
