Time,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroPumpedStorage[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Total_production,Share_Wind,Share_Conv
2022-01-01 00:00:00,1316.0,586.0,965.0,48.0,584.0,112.0,2916.0,18097.0,8640.0,1421.0,74.0,1.0,238.0,1866.0,7801.0,188.0,44665.0,0.2164334490092914,0.7818873838576066
2022-01-01 01:00:00,1130.0,576.0,961.0,47.0,582.0,106.0,2807.0,17393.0,8641.0,1386.0,75.0,1.0,239.0,1875.0,7858.0,184.0,43677.0,0.2228403965473819,0.7754195572040204
2022-01-01 02:00:00,1179.0,577.0,959.0,47.0,581.0,109.0,2862.0,18070.0,8639.0,1397.0,72.0,1.0,238.0,1904.0,7616.0,181.0,44251.0,0.21513638109873223,0.7832139386680527
2022-01-01 03:00:00,1196.0,574.0,963.0,47.0,584.0,111.0,2859.0,17272.0,8639.0,1404.0,75.0,1.0,237.0,1738.0,7454.0,180.0,43154.0,0.21300458821893684,0.7852342772396533
2022-01-01 04:00:00,1243.0,546.0,961.0,47.0,590.0,100.0,2841.0,16623.0,8640.0,1407.0,70.0,1.0,237.0,1436.0,7278.0,180.0,42020.0,0.20737743931461208,0.7909328891004284
2022-01-01 05:00:00,1158.0,546.0,962.0,47.0,614.0,104.0,2906.0,17651.0,8639.0,1436.0,73.0,1.0,236.0,1505.0,7036.0,177.0,42914.0,0.19902595889453326,0.7992496621149275
2022-01-01 06:00:00,1203.0,533.0,961.0,47.0,648.0,127.0,2928.0,17793.0,8639.0,1475.0,70.0,1.0,235.0,1391.0,6915.0,176.0,42966.0,0.19331564492854816,0.805031885677047
2022-01-01 07:00:00,1253.0,563.0,962.0,47.0,691.0,135.0,3029.0,18366.0,8641.0,1569.0,62.0,1.0,228.0,1407.0,6643.0,176.0,43597.0,0.18464573250453012,0.8139092139367388
2022-01-01 08:00:00,1420.0,604.0,1058.0,50.0,710.0,140.0,3093.0,19737.0,8641.0,1619.0,56.0,1.0,236.0,1098.0,6533.0,179.0,44996.0,0.1695928526980176,0.8291403680327141
2022-01-01 09:00:00,1404.0,621.0,1194.0,58.0,723.0,143.0,3275.0,20401.0,8641.0,1632.0,58.0,12.0,240.0,734.0,6614.0,182.0,45750.0,0.1606120218579235,0.8378579234972677
2022-01-01 10:00:00,1396.0,609.0,1230.0,59.0,720.0,142.0,3438.0,20944.0,8641.0,1660.0,58.0,45.0,222.0,703.0,6693.0,186.0,46560.0,0.1588487972508591,0.8389390034364261
2022-01-01 11:00:00,1404.0,604.0,1240.0,58.0,719.0,141.0,3526.0,20448.0,8685.0,1678.0,60.0,67.0,218.0,610.0,6557.0,190.0,46015.0,0.15575355862218843,0.841486471802673
2022-01-01 12:00:00,1463.0,602.0,1430.0,59.0,712.0,141.0,3529.0,20448.0,8863.0,1680.0,61.0,62.0,218.0,653.0,6725.0,193.0,46646.0,0.15817004673498264,0.8391930712172534
2022-01-01 13:00:00,1362.0,602.0,1463.0,60.0,709.0,140.0,3488.0,20361.0,9009.0,1701.0,63.0,40.0,219.0,714.0,6983.0,197.0,46914.0,0.16406616361853604,0.8337383297096815
2022-01-01 14:00:00,1473.0,610.0,1480.0,61.0,713.0,143.0,3584.0,21470.0,9076.0,1719.0,63.0,20.0,226.0,763.0,6974.0,197.0,48375.0,0.15993798449612404,0.8383462532299741
2022-01-01 15:00:00,1530.0,632.0,1510.0,62.0,732.0,141.0,3715.0,21801.0,9076.0,1724.0,62.0,3.0,230.0,893.0,7264.0,198.0,49375.0,0.16520506329113924,0.8334784810126582
2022-01-01 16:00:00,1579.0,746.0,1571.0,61.0,761.0,140.0,4012.0,22731.0,9130.0,1731.0,63.0,1.0,228.0,1034.0,7918.0,201.0,51706.0,0.17313271187096274,0.8256295207519437
2022-01-01 17:00:00,1597.0,779.0,1737.0,61.0,776.0,150.0,4145.0,23868.0,9145.0,1747.0,61.0,1.0,224.0,1102.0,8629.0,205.0,54022.0,0.18013031727814593,0.8187220021472733
2022-01-01 18:00:00,1572.0,775.0,1785.0,60.0,759.0,149.0,4198.0,24253.0,9145.0,1748.0,60.0,1.0,227.0,1415.0,9254.0,207.0,55401.0,0.19257775130412808,0.8063211855381672
2022-01-01 19:00:00,1559.0,777.0,1705.0,61.0,730.0,141.0,4010.0,22389.0,9150.0,1749.0,58.0,1.0,225.0,1748.0,9391.0,211.0,53694.0,0.2074533467426528,0.7914478340224234
2022-01-01 20:00:00,1406.0,719.0,1563.0,60.0,734.0,138.0,3660.0,21038.0,9153.0,1759.0,59.0,1.0,221.0,1962.0,9926.0,208.0,52399.0,0.22687455867478387,0.7719803813049867
2022-01-01 21:00:00,1266.0,684.0,1423.0,59.0,741.0,127.0,3753.0,20398.0,9155.0,1766.0,58.0,1.0,223.0,2075.0,10454.0,201.0,52183.0,0.24009734971159188,0.7587720138742502
2022-01-01 22:00:00,1192.0,687.0,1315.0,59.0,739.0,127.0,3996.0,19226.0,9155.0,1753.0,58.0,1.0,233.0,2048.0,10646.0,196.0,51235.0,0.24776032009368595,0.7510881233531765
2022-01-01 23:00:00,1140.0,582.0,1162.0,59.0,723.0,128.0,3561.0,18418.0,9157.0,1661.0,61.0,1.0,228.0,2056.0,10812.0,194.0,49749.0,0.2586584654967939,0.7400952782970512
2022-01-02 00:00:00,1067.0,549.0,1116.0,58.0,661.0,104.0,3089.0,15671.0,9161.0,1551.0,63.0,1.0,234.0,1950.0,10885.0,191.0,46160.0,0.27805459272097055,0.7205589254766032
2022-01-02 01:00:00,1039.0,548.0,1080.0,56.0,628.0,104.0,2798.0,15238.0,9158.0,1489.0,78.0,1.0,230.0,1838.0,11027.0,186.0,45312.0,0.2839203742937853,0.7143361581920904
2022-01-02 02:00:00,997.0,555.0,1038.0,56.0,630.0,102.0,2731.0,14720.0,9159.0,1442.0,61.0,1.0,219.0,1861.0,11175.0,184.0,44747.0,0.29132679285762175,0.7072876393948198
2022-01-02 03:00:00,1025.0,536.0,1028.0,55.0,636.0,101.0,2683.0,13546.0,9157.0,1440.0,60.0,1.0,220.0,1853.0,10907.0,181.0,43248.0,0.2950425453200148,0.7035469848316686
2022-01-02 04:00:00,1083.0,551.0,1038.0,56.0,640.0,95.0,2864.0,12866.0,9159.0,1468.0,60.0,1.0,211.0,1826.0,10790.0,179.0,42708.0,0.2954013299615997,0.7031703662077362
2022-01-02 05:00:00,1003.0,576.0,1029.0,56.0,660.0,102.0,2960.0,12739.0,9161.0,1470.0,60.0,1.0,210.0,1831.0,10571.0,178.0,42429.0,0.29230007777699213,0.7062622263074784
2022-01-02 06:00:00,1048.0,574.0,1032.0,56.0,680.0,104.0,2905.0,13218.0,9162.0,1459.0,56.0,1.0,218.0,1680.0,10117.0,176.0,42310.0,0.2788229732923659,0.7198298274639565
2022-01-02 07:00:00,1079.0,583.0,1027.0,56.0,698.0,102.0,2837.0,15104.0,9161.0,1515.0,51.0,1.0,223.0,1660.0,9946.0,176.0,44043.0,0.2635152010535159,0.735304134595736
2022-01-02 08:00:00,1208.0,516.0,1068.0,57.0,705.0,108.0,2839.0,16301.0,9161.0,1549.0,56.0,1.0,231.0,1579.0,9669.0,178.0,45048.0,0.2496892203871426,0.7490454626176523
2022-01-02 09:00:00,1239.0,500.0,1088.0,58.0,705.0,108.0,2964.0,17768.0,9160.0,1624.0,50.0,3.0,231.0,1534.0,9248.0,182.0,46280.0,0.23297320656871218,0.7658815903197925
2022-01-02 10:00:00,1315.0,495.0,1118.0,58.0,707.0,109.0,3097.0,19036.0,9159.0,1633.0,56.0,16.0,227.0,1386.0,8823.0,184.0,47235.0,0.21613210543029532,0.7823436011432201
2022-01-02 11:00:00,1380.0,504.0,1128.0,57.0,703.0,108.0,3135.0,20072.0,9159.0,1654.0,57.0,24.0,230.0,1197.0,8091.0,189.0,47499.0,0.19554095875702646,0.8027537421840459
2022-01-02 12:00:00,1385.0,536.0,1129.0,57.0,703.0,108.0,3158.0,20035.0,9159.0,1658.0,58.0,30.0,228.0,1052.0,7563.0,194.0,46859.0,0.18384942060223222,0.8142726050491901
2022-01-02 13:00:00,1347.0,533.0,1151.0,57.0,707.0,109.0,3188.0,20444.0,9160.0,1656.0,57.0,26.0,230.0,736.0,7225.0,196.0,46626.0,0.17074164629176855,0.8274782310298975
2022-01-02 14:00:00,1434.0,551.0,1242.0,59.0,705.0,109.0,3386.0,21213.0,9187.0,1661.0,59.0,14.0,240.0,709.0,7001.0,196.0,47570.0,0.16207693924742483,0.8363884801345386
