,Time,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Inertia,Total_production,Share_Wind,Share_Conv
0,2018-01-01 00:00:00,1463.0,1164.0,930.0,36.0,435.0,2348.0,17037.0,11333.0,1270.0,43.0,0.0,147.0,891.0,5432.0,200.0,200.0,42529.0,0.1486750217498648,0.8503139034541136
1,2018-01-01 01:00:00,1443.0,1156.0,918.0,35.0,445.0,2250.0,16602.0,11333.0,1272.0,43.0,0.0,148.0,917.0,5405.0,196.0,196.0,41967.0,0.15064217122977577,0.8483332141921033
2,2018-01-01 02:00:00,1360.0,1186.0,937.0,43.0,440.0,2169.0,15581.0,11331.0,1279.0,43.0,0.0,151.0,815.0,5337.0,195.0,195.0,40672.0,0.1512588512981904,0.847683910306845
3,2018-01-01 03:00:00,1362.0,1204.0,914.0,39.0,445.0,2146.0,14287.0,11333.0,1193.0,43.0,0.0,148.0,854.0,5323.0,192.0,192.0,39291.0,0.15721157516988624,0.8416940266218726
4,2018-01-01 04:00:00,1352.0,1204.0,919.0,40.0,453.0,2171.0,14278.0,11334.0,1190.0,43.0,0.0,150.0,937.0,5101.0,187.0,187.0,39172.0,0.15414071275400795,0.8447615643827223
5,2018-01-01 05:00:00,1251.0,1149.0,907.0,42.0,458.0,2207.0,14519.0,11332.0,1190.0,43.0,0.0,150.0,917.0,5110.0,185.0,185.0,39275.0,0.15345639719923615,0.845448758752387
6,2018-01-01 06:00:00,1235.0,1149.0,877.0,39.0,455.0,2299.0,15262.0,11333.0,1198.0,43.0,0.0,149.0,960.0,5197.0,185.0,185.0,40196.0,0.15317444521842968,0.8457557965966763
7,2018-01-01 07:00:00,1280.0,1164.0,926.0,43.0,444.0,2369.0,16339.0,11331.0,1202.0,43.0,0.0,150.0,966.0,5202.0,188.0,188.0,41459.0,0.14877348705950458,0.8501893436889457
8,2018-01-01 08:00:00,1317.0,1164.0,887.0,36.0,447.0,2361.0,16328.0,11334.0,1207.0,43.0,1.0,145.0,1020.0,5305.0,192.0,192.0,41595.0,0.15206154585887727,0.8468806346916696
9,2018-01-01 09:00:00,1353.0,1170.0,879.0,35.0,449.0,2291.0,17008.0,11331.0,1237.0,43.0,11.0,134.0,1088.0,5388.0,194.0,194.0,42417.0,0.15267463516986113,0.8460522903552821
10,2018-01-01 10:00:00,1456.0,1169.0,904.0,33.0,449.0,2353.0,18788.0,11332.0,1246.0,43.0,36.0,142.0,1140.0,5726.0,193.0,193.0,44817.0,0.15320079434143294,0.845036481692215
11,2018-01-01 11:00:00,1443.0,1201.0,952.0,41.0,449.0,2412.0,19679.0,11331.0,1256.0,43.0,54.0,135.0,1122.0,5611.0,197.0,197.0,45729.0,0.14723698309606595,0.8506418246626867
12,2018-01-01 12:00:00,1459.0,1202.0,931.0,40.0,455.0,2437.0,20197.0,11329.0,1264.0,43.0,59.0,137.0,1137.0,5665.0,199.0,199.0,46355.0,0.14673713730989105,0.8510624528098372
13,2018-01-01 13:00:00,1528.0,1194.0,882.0,34.0,461.0,2552.0,20305.0,11330.0,1254.0,43.0,60.0,135.0,1138.0,5811.0,205.0,205.0,46727.0,0.1487148757677574,0.8490808312110771
14,2018-01-01 14:00:00,1509.0,1213.0,892.0,35.0,469.0,2706.0,20809.0,11331.0,1264.0,43.0,48.0,136.0,1130.0,5652.0,204.0,204.0,47237.0,0.1435738933463175,0.8544996506975464
15,2018-01-01 15:00:00,1491.0,1228.0,940.0,40.0,469.0,2779.0,22206.0,11330.0,1261.0,43.0,19.0,143.0,1124.0,5552.0,206.0,206.0,48625.0,0.13729562982005142,0.8614293059125964
16,2018-01-01 16:00:00,1518.0,1282.0,1128.0,43.0,473.0,2899.0,23411.0,11330.0,1267.0,43.0,1.0,150.0,1096.0,5224.0,210.0,210.0,49865.0,0.1267422039506668,0.8723754136167653
17,2018-01-01 17:00:00,1518.0,1294.0,1363.0,44.0,461.0,2962.0,24346.0,11328.0,1273.0,43.0,0.0,158.0,1100.0,4963.0,216.0,216.0,50853.0,0.11922600436552416,0.8799284211354296
18,2018-01-01 18:00:00,1578.0,1304.0,1395.0,39.0,458.0,2981.0,24022.0,11327.0,1273.0,43.0,0.0,159.0,1062.0,4847.0,220.0,220.0,50488.0,0.11703771193154809,0.8821106005387419
19,2018-01-01 19:00:00,1585.0,1336.0,1264.0,47.0,455.0,2884.0,23148.0,11326.0,1269.0,43.0,0.0,160.0,1039.0,4793.0,220.0,220.0,49349.0,0.11817868649820665,0.8809499685910556
20,2018-01-01 20:00:00,1556.0,1312.0,1023.0,41.0,453.0,2687.0,22064.0,11327.0,1283.0,43.0,0.0,148.0,966.0,4720.0,219.0,219.0,47623.0,0.11939609012451967,0.8797009848182601
21,2018-01-01 21:00:00,1518.0,1299.0,954.0,39.0,451.0,2702.0,21516.0,11330.0,1246.0,43.0,0.0,148.0,1003.0,4605.0,213.0,213.0,46854.0,0.11969095488112008,0.8793913006360182
22,2018-01-01 22:00:00,1456.0,1325.0,951.0,44.0,438.0,2537.0,19870.0,11328.0,1239.0,43.0,0.0,147.0,904.0,4411.0,210.0,210.0,44693.0,0.1189224263307453,0.8801154543217059
23,2018-01-01 23:00:00,1402.0,1307.0,1009.0,40.0,423.0,2250.0,17563.0,11329.0,1233.0,43.0,0.0,152.0,830.0,4221.0,207.0,207.0,41802.0,0.1208315391608057,0.878139801923353
24,2018-01-02 00:00:00,1364.0,1217.0,1102.0,31.0,403.0,2066.0,15174.0,11329.0,1212.0,43.0,0.0,155.0,790.0,3994.0,199.0,199.0,38880.0,0.12304526748971194,0.8758487654320988
25,2018-01-02 01:00:00,1349.0,1199.0,1137.0,30.0,404.0,2044.0,14306.0,11329.0,1216.0,43.0,0.0,155.0,770.0,3740.0,191.0,191.0,37722.0,0.11955887810826574,0.8793012035416998
26,2018-01-02 02:00:00,1346.0,1190.0,1119.0,29.0,408.0,2088.0,14533.0,11327.0,1218.0,43.0,0.0,156.0,688.0,3556.0,183.0,183.0,37701.0,0.11256995835654227,0.8862894883424843
27,2018-01-02 03:00:00,1343.0,1198.0,1128.0,29.0,410.0,2128.0,14551.0,11053.0,1218.0,43.0,0.0,157.0,589.0,3409.0,182.0,182.0,37256.0,0.1073115739746618,0.8915342495168563
