Time,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroPumpedStorage[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Total_production,Share_Wind,Share_Conv
2020-01-01 00:00:00,1211.0,1206.0,1231.0,16.0,472.0,,2534.0,18000.0,10565.0,1296.0,25.0,0.0,187.0,673.0,8653.0,195.0,46069.0,0.2024354772189542,0.7970218585165729
2020-01-01 01:00:00,1211.0,1200.0,1061.0,16.0,466.0,,2352.0,17328.0,10565.0,1296.0,25.0,0.0,188.0,762.0,8678.0,188.0,45148.0,0.20909010365907682,0.7903561619562328
2020-01-01 02:00:00,1123.0,1193.0,1035.0,16.0,466.0,,2301.0,16690.0,10565.0,1286.0,26.0,0.0,185.0,845.0,9075.0,191.0,44806.0,0.22139891978752846,0.7780208007856091
2020-01-01 03:00:00,1110.0,1205.0,1023.0,16.0,468.0,,2262.0,15625.0,10567.0,1271.0,26.0,0.0,187.0,943.0,9362.0,187.0,44065.0,0.23385907182571203,0.765550890729604
2020-01-01 04:00:00,1163.0,1189.0,1021.0,20.0,483.0,,2283.0,14824.0,10565.0,1260.0,26.0,0.0,184.0,1036.0,9652.0,183.0,43706.0,0.24454308332951996,0.7548620326728596
2020-01-01 05:00:00,1126.0,1191.0,1070.0,24.0,489.0,,2240.0,13698.0,10567.0,1296.0,26.0,0.0,189.0,1032.0,10028.0,179.0,42976.0,0.25735294117647056,0.742042069992554
2020-01-01 06:00:00,1127.0,1226.0,1241.0,24.0,490.0,,2269.0,13338.0,10564.0,1342.0,26.0,0.0,190.0,1033.0,10093.0,178.0,42963.0,0.25896701813188094,0.7404278099760259
2020-01-01 07:00:00,1201.0,1264.0,1219.0,24.0,487.0,,2432.0,13824.0,10559.0,1375.0,25.0,0.0,188.0,1053.0,10425.0,175.0,44076.0,0.2604138306561394,0.7390189672384064
2020-01-01 08:00:00,1203.0,1308.0,1136.0,24.0,494.0,,2455.0,14805.0,10557.0,1399.0,25.0,0.0,190.0,1141.0,10835.0,175.52578732455322,45572.0,0.26279294303519707,0.7366584745018872
2020-01-01 09:00:00,1207.0,1357.0,1118.0,25.0,491.0,,2503.0,14817.0,10557.0,1393.0,26.0,16.0,190.0,1150.0,11177.0,175.76499617874143,46027.0,0.26782106155082885,0.7312664305733592
2020-01-01 10:00:00,1296.0,1400.0,1132.0,27.0,487.0,,2540.0,15304.0,10562.0,1406.0,26.0,54.0,190.0,1120.0,11523.0,178.0,47067.0,0.26861707778273525,0.7296832175409522
2020-01-01 11:00:00,1272.0,1386.0,1161.0,27.0,484.0,,2536.0,15958.0,10559.0,1441.0,26.0,83.0,191.0,1159.0,11866.0,178.35252126931042,48149.0,0.27051444474443914,0.7272217491536688
2020-01-01 12:00:00,1285.0,1327.0,1235.0,27.0,478.0,,2470.0,16995.0,10557.0,1458.0,26.0,101.0,191.0,1170.0,11840.0,180.0,49160.0,0.2646460537021969,0.7327705451586656
2020-01-01 13:00:00,1344.0,1327.0,1291.0,28.0,479.0,,2444.0,17315.0,10558.0,1459.0,25.0,99.0,192.0,1137.0,11708.0,184.0,49406.0,0.25998866534429016,0.7375015180342469
2020-01-01 14:00:00,1350.0,1334.0,1211.0,27.0,479.0,,2505.0,18154.0,10557.0,1475.0,25.0,51.0,193.0,1133.0,11542.0,187.0,50036.0,0.2533176113198497,0.7451634822927492
2020-01-01 15:00:00,1343.0,1332.0,1259.0,27.0,472.0,,2698.0,19263.0,10558.0,1471.0,25.0,10.0,193.0,1056.0,11673.0,188.0,51380.0,0.24774231218372908,0.7515764889061892
2020-01-01 16:00:00,1371.0,1348.0,1178.0,28.0,465.0,,2865.0,20719.0,10556.0,1473.0,25.0,0.0,192.0,1068.0,11640.0,192.0,52928.0,0.24009975816203144,0.7594279020556227
2020-01-01 17:00:00,1312.0,1339.0,1182.0,28.0,451.0,,2941.0,21152.0,10556.0,1483.0,25.0,0.0,192.0,1058.0,11533.0,197.0,53252.0,0.23644182378126644,0.7630887102831818
2020-01-01 18:00:00,1318.0,1345.0,1192.0,26.0,426.0,,2961.0,20333.0,10558.0,1482.0,25.0,0.0,194.0,929.0,11653.0,197.75337422151625,52442.0,0.2399221997635483,0.759601083101331
2020-01-01 19:00:00,1352.0,1344.0,1121.0,25.0,417.0,,2984.0,19578.0,10558.0,1470.0,25.0,0.0,191.0,944.0,11768.0,201.0,51777.0,0.2455144175985476,0.7540027425304672
2020-01-01 20:00:00,1331.0,1332.0,1137.0,23.0,410.0,,2905.0,18204.0,10556.0,1448.0,25.0,0.0,196.0,1000.0,11743.0,198.0,50310.0,0.2532896044523951,0.7462134764460346
2020-01-01 21:00:00,1287.0,1261.0,1125.0,23.0,400.0,,2705.0,17352.0,10554.0,1418.0,25.0,0.0,199.0,929.0,11834.0,195.0,49112.0,0.25987538687082584,0.7396155725688223
2020-01-01 22:00:00,1268.0,1261.0,1009.0,23.0,390.0,,2355.0,15378.0,10554.0,1368.0,25.0,0.0,199.0,1030.0,12003.0,191.0,46863.0,0.27810852911678724,0.7213580009815846
2020-01-01 23:00:00,1285.0,1234.0,1028.0,24.0,385.0,,2254.0,14295.0,10554.0,1373.0,25.0,0.0,198.0,976.0,12054.0,187.0,45685.0,0.285213965196454,0.7142388092371675
