,MTU,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW]
0,2018-01-01 00:00:00,1463.0,1164.0,930.0,36.0,435.0,2348.0,17037.0,11333.0,1270.0,43.0,0.0,147.0,891.0,5432.0
1,2018-01-01 01:00:00,1443.0,1156.0,918.0,35.0,445.0,2250.0,16602.0,11333.0,1272.0,43.0,0.0,148.0,917.0,5405.0
2,2018-01-01 02:00:00,1360.0,1186.0,937.0,43.0,440.0,2169.0,15581.0,11331.0,1279.0,43.0,0.0,151.0,815.0,5337.0
3,2018-01-01 03:00:00,1362.0,1204.0,914.0,39.0,445.0,2146.0,14287.0,11333.0,1193.0,43.0,0.0,148.0,854.0,5323.0
4,2018-01-01 04:00:00,1352.0,1204.0,919.0,40.0,453.0,2171.0,14278.0,11334.0,1190.0,43.0,0.0,150.0,937.0,5101.0
5,2018-01-01 05:00:00,1251.0,1149.0,907.0,42.0,458.0,2207.0,14519.0,11332.0,1190.0,43.0,0.0,150.0,917.0,5110.0
6,2018-01-01 06:00:00,1235.0,1149.0,877.0,39.0,455.0,2299.0,15262.0,11333.0,1198.0,43.0,0.0,149.0,960.0,5197.0
7,2018-01-01 07:00:00,1280.0,1164.0,926.0,43.0,444.0,2369.0,16339.0,11331.0,1202.0,43.0,0.0,150.0,966.0,5202.0
8,2018-01-01 08:00:00,1317.0,1164.0,887.0,36.0,447.0,2361.0,16328.0,11334.0,1207.0,43.0,1.0,145.0,1020.0,5305.0
9,2018-01-01 09:00:00,1353.0,1170.0,879.0,35.0,449.0,2291.0,17008.0,11331.0,1237.0,43.0,11.0,134.0,1088.0,5388.0
10,2018-01-01 10:00:00,1456.0,1169.0,904.0,33.0,449.0,2353.0,18788.0,11332.0,1246.0,43.0,36.0,142.0,1140.0,5726.0
11,2018-01-01 11:00:00,1443.0,1201.0,952.0,41.0,449.0,2412.0,19679.0,11331.0,1256.0,43.0,54.0,135.0,1122.0,5611.0
12,2018-01-01 12:00:00,1459.0,1202.0,931.0,40.0,455.0,2437.0,20197.0,11329.0,1264.0,43.0,59.0,137.0,1137.0,5665.0
13,2018-01-01 13:00:00,1528.0,1194.0,882.0,34.0,461.0,2552.0,20305.0,11330.0,1254.0,43.0,60.0,135.0,1138.0,5811.0
14,2018-01-01 14:00:00,1509.0,1213.0,892.0,35.0,469.0,2706.0,20809.0,11331.0,1264.0,43.0,48.0,136.0,1130.0,5652.0
15,2018-01-01 15:00:00,1491.0,1228.0,940.0,40.0,469.0,2779.0,22206.0,11330.0,1261.0,43.0,19.0,143.0,1124.0,5552.0
16,2018-01-01 16:00:00,1518.0,1282.0,1128.0,43.0,473.0,2899.0,23411.0,11330.0,1267.0,43.0,1.0,150.0,1096.0,5224.0
17,2018-01-01 17:00:00,1518.0,1294.0,1363.0,44.0,461.0,2962.0,24346.0,11328.0,1273.0,43.0,0.0,158.0,1100.0,4963.0
18,2018-01-01 18:00:00,1578.0,1304.0,1395.0,39.0,458.0,2981.0,24022.0,11327.0,1273.0,43.0,0.0,159.0,1062.0,4847.0
19,2018-01-01 19:00:00,1585.0,1336.0,1264.0,47.0,455.0,2884.0,23148.0,11326.0,1269.0,43.0,0.0,160.0,1039.0,4793.0
20,2018-01-01 20:00:00,1556.0,1312.0,1023.0,41.0,453.0,2687.0,22064.0,11327.0,1283.0,43.0,0.0,148.0,966.0,4720.0
21,2018-01-01 21:00:00,1518.0,1299.0,954.0,39.0,451.0,2702.0,21516.0,11330.0,1246.0,43.0,0.0,148.0,1003.0,4605.0
22,2018-01-01 22:00:00,1456.0,1325.0,951.0,44.0,438.0,2537.0,19870.0,11328.0,1239.0,43.0,0.0,147.0,904.0,4411.0
23,2018-01-01 23:00:00,1402.0,1307.0,1009.0,40.0,423.0,2250.0,17563.0,11329.0,1233.0,43.0,0.0,152.0,830.0,4221.0
24,2018-01-02 00:00:00,1687.0,1610.0,1631.0,22.0,655.0,2710.0,17333.0,11453.0,1694.0,44.0,0.0,168.0,1087.0,6600.0
25,2018-01-02 01:00:00,1643.0,1600.0,1685.0,25.0,648.0,2565.0,16844.0,11449.0,1691.0,44.0,0.0,169.0,1096.0,6714.0
